Country,Total_Cases,Total_Deaths,Total Recovered,Active Cases,Total Cases/1M population,Deaths/1M population,Total Tests,Tests/1M population,Population
Brunei,9167,64.0,6880.0,2223.0,20701,145.0,406629.0,918267.0,442822
Bulgaria,524333,21813.0,450662.0,51858.0,76193,3170.0,4990220.0,725153.0,6881611
Burkina Faso,14516,195.0,14028.0,293.0,671,9.0,219552.0,10149.0,21632339
Burundi,19041,38.0,773.0,18230.0,1543,3.0,345742.0,28016.0,12341062
Cabo Verde,37902,346.0,37102.0,454.0,67239,614.0,209870.0,372316.0,563688
Cambodia,115335,2544.0,108802.0,3989.0,6779,150.0,2515858.0,147871.0,17013914
Cameroon,95399,1517.0,80433.0,13449.0,3483,55.0,1751774.0,63964.0,27386702
Canada,1660000,28213.0,1588697.0,43090.0,43496,739.0,44186056.0,1157786.0,38164285
CAR,11401,100.0,6859.0,4442.0,2309,20.0,60228.0,12200.0,4936751
Caribbean Netherlands,2257,19.0,2064.0,174.0,85061,716.0,25579.0,964008.0,26534
Cayman Islands,983,2.0,814.0,167.0,14736,30.0,136206.0,2041885.0,66706
Chad,5059,174.0,4866.0,19.0,297,10.0,147563.0,8667.0,17025260
Channel Islands,11968,98.0,11544.0,326.0,68036,557.0,947210.0,5384720.0,175907
Chile,1663383,37571.0,1617035.0,8777.0,86072,1944.0,22435648.0,1160933.0,19325528
China,96435,4636.0,91130.0,669.0,67,3.0,160000000.0,111163.0,1439323776
Colombia,4973325,126655.0,4816568.0,30102.0,96430,2456.0,26011131.0,504340.0,51574548
Comoros,4169,147.0,3998.0,24.0,4668,165.0,,,893186
Congo,14833,206.0,12421.0,2206.0,2606,36.0,188207.0,33071.0,5690925
Costa Rica,546595,6698.0,461980.0,77917.0,106064,1300.0,2394098.0,464562.0,5153454
Croatia,418028,8778.0,400965.0,8285.0,102636,2155.0,2916030.0,715955.0,4072923
Cuba,921328,7891.0,897236.0,16201.0,81405,697.0,9994744.0,883100.0,11317788
Curaçao,16804,168.0,16331.0,305.0,101873,1018.0,292262.0,1771822.0,164950
Cyprus,119812,560.0,90755.0,28497.0,98322,460.0,9420908.0,7731099.0,1218573
Czechia,1700078,30504.0,1659115.0,10459.0,158377,2842.0,38859317.0,3620092.0,10734345
Denmark,364464,2671.0,354696.0,7097.0,62642,459.0,84336941.0,14495272.0,5818238
Djibouti,13269,177.0,12849.0,243.0,13186,176.0,227614.0,226186.0,1006313
Dominica,4020,26.0,3543.0,451.0,55668,360.0,80072.0,1108815.0,72214
Dominican Republic,366191,4067.0,354332.0,7792.0,33331,370.0,2111655.0,192202.0,10986655
DRC,57247,1087.0,50930.0,5230.0,615,12.0,306299.0,3293.0,93023044
Ecuador,512044,32848.0,443880.0,35316.0,28471,1826.0,1871255.0,104048.0,17984494
Egypt,313259,17726.0,264345.0,31188.0,2989,169.0,3693367.0,35244.0,104792860
El Salvador,107664,3405.0,89968.0,14291.0,16493,522.0,1309644.0,200620.0,6527973
Equatorial Guinea,12786,155.0,12032.0,599.0,8748,106.0,195087.0,133479.0,1461561
Eritrea,6755,43.0,6669.0,43.0,1872,12.0,23693.0,6565.0,3608989
Estonia,165345,1400.0,149555.0,14390.0,124537,1054.0,1982689.0,1493355.0,1327674
Eswatini,46284,1229.0,44658.0,397.0,39374,1046.0,357799.0,304384.0,1175484
Ethiopia,355001,6026.0,324450.0,24525.0,2994,51.0,3557710.0,30001.0,118587254
Faeroe Islands,1301,2.0,1185.0,114.0,26497,41.0,447000.0,9103870.0,49100
Fiji,51535,653.0,47912.0,2970.0,56962,722.0,422600.0,467099.0,904733
Finland,147297,1100.0,46000.0,100197.0,26532,198.0,7202399.0,1297330.0,5551709
France,7057631,117082.0,6847617.0,92932.0,107819,1789.0,146046715.0,2231155.0,65457901
French Guiana,42794,289.0,9995.0,32510.0,138702,937.0,410123.0,1329272.0,308532
French Polynesia,40178,629.0,33500.0,6049.0,141982,2223.0,26355.0,93134.0,282980
Gabon,32576,205.0,27466.0,4905.0,14209,89.0,1253654.0,546832.0,2292577
Gambia,9941,339.0,9594.0,8.0,3972,135.0,103187.0,41225.0,2503016
Georgia,635583,9269.0,602372.0,23942.0,159719,2329.0,9296762.0,2336229.0,3979388
Germany,4334254,95087.0,4106300.0,132867.0,51521,1130.0,73348901.0,871894.0,84125917
Ghana,128368,1158.0,124514.0,2696.0,4024,36.0,1781277.0,55841.0,31898831
Gibraltar,5655,97.0,5451.0,107.0,167914,2880.0,369608.0,10974761.0,33678
Greece,679157,15177.0,638400.0,25580.0,65568,1465.0,22063969.0,2130135.0,10358015
Greenland,623,,573.0,50.0,10950,,79312.0,1393982.0,56
Grenada,5653,183.0,5149.0,321.0,49943,1617.0,75017.0,662765.0,113188
Guadeloupe,53734,721.0,2250.0,50763.0,134264,1802.0,467423.0,1167941.0,400211
Guatemala,579774,14066.0,548253.0,17455.0,31616,767.0,2686758.0,146515.0,18337715
Guinea,30523,383.0,29126.0,1014.0,2247,28.0,560520.0,41257.0,13585914
Guinea-Bissau,6119,141.0,5362.0,616.0,3018,70.0,99530.0,49097.0,2027201
Guyana,33748,842.0,29004.0,3902.0,42644,1064.0,333152.0,420968.0,791396
Haiti,22614,643.0,19931.0,2040.0,1953,56.0,120507.0,10407.0,11579762
Honduras,370262,10010.0,112295.0,247957.0,36640,991.0,1060480.0,104942.0,10105351
Hong Kong,12269,213.0,11953.0,103.0,1620,28.0,25587465.0,3378072.0,7574576
Hungary,829456,30303.0,789010.0,10143.0,86141,3147.0,7071702.0,734415.0,9629021
Iceland,12243,33.0,11762.0,448.0,35583,96.0,1087044.0,3159378.0,344069
India,33985920,450991.0,33320057.0,214872.0,24322,323.0,585038043.0,418689.0,1397309368
Indonesia,4228552,142716.0,4063295.0,22541.0,15254,515.0,41849489.0,150965.0,277212298
Iran,5716394,122868.0,5234010.0,359516.0,66965,1439.0,32619228.0,382121.0,85363583
Iraq,2024705,22591.0,1948571.0,53543.0,48940,546.0,15418867.0,372693.0,41371485
Ireland,404514,5280.0,360033.0,39201.0,80772,1054.0,7616896.0,1520908.0,5008123
Isle of Man,8121,54.0,7591.0,476.0,94864,631.0,125320.0,1463899.0,85607
Israel,1307281,7937.0,1274581.0,24763.0,140176,851.0,27731214.0,2973538.0,9326000
Italy,4701832,131335.0,4486391.0,84106.0,77912,2176.0,95445947.0,1581585.0,60348285
Ivory Coast,60829,669.0,58967.0,1193.0,2236,25.0,1044828.0,38399.0,27209478
Jamaica,86384,2025.0,54424.0,29935.0,29011,680.0,617665.0,207433.0,2977663
Japan,1710973,17941.0,1681202.0,11830.0,13581,142.0,25400317.0,201619.0,125981927
Jordan,834778,10818.0,809980.0,13980.0,80793,1047.0,10373914.0,1004025.0,10332325
Kazakhstan,907140,11584.0,848891.0,46665.0,47586,608.0,11575012.0,607195.0,19063084
Kenya,251248,5190.0,244237.0,1821.0,4545,94.0,2609854.0,47212.0,55279170
Kuwait,412121,2455.0,409046.0,620.0,94717,564.0,4482390.0,1030182.0,4351068
Kyrgyzstan,179429,2622.0,174198.0,2609.0,26936,394.0,1742574.0,261595.0,6661349
